image_name,tags
test_393,clear primary water haze cultivation agriculture road
test_394,clear primary
test_395,clear primary water cultivation agriculture road
test_396,clear primary
test_397,clear primary
test_398,clear primary cultivation agriculture road
test_399,clear primary cultivation habitation agriculture road
test_400,clear primary
test_401,clear primary cultivation agriculture
test_402,cloudy
test_403,clear primary
test_404,clear primary cultivation agriculture
test_405,clear primary water
test_406,primary haze
test_407,clear primary
test_408,clear primary
test_409,clear primary
test_410,primary cloudy partly_cloudy
test_411,clear primary water cultivation habitation agriculture road
test_412,clear primary water cultivation agriculture road
test_413,clear primary
test_414,cloudy
test_415,clear primary
test_416,clear primary water cultivation partly_cloudy habitation agriculture road
test_417,clear primary water cultivation agriculture road
test_418,clear primary
test_419,primary partly_cloudy agriculture
test_420,clear primary water cultivation habitation agriculture road
test_421,clear primary
test_422,clear primary
test_423,clear primary
test_424,clear primary water cultivation agriculture
test_425,clear primary
test_426,clear primary water cultivation partly_cloudy agriculture
test_427,clear primary water cultivation partly_cloudy agriculture road
test_428,clear primary agriculture
test_429,clear primary water cultivation partly_cloudy agriculture road
test_430,clear primary water partly_cloudy agriculture road
test_431,clear primary
test_432,clear primary
test_433,clear primary
test_434,clear primary water cultivation agriculture road
test_435,clear primary water partly_cloudy agriculture road
test_436,primary cloudy
test_437,clear primary
test_438,clear primary water cultivation agriculture road
test_439,clear primary water agriculture
test_440,primary water partly_cloudy
test_441,clear primary
test_442,clear primary water cultivation agriculture
test_443,clear primary water partly_cloudy habitation agriculture road
test_444,primary partly_cloudy agriculture road
test_445,clear primary
test_446,primary partly_cloudy
test_447,clear primary water
test_448,clear primary water cultivation habitation agriculture road
test_449,primary cloudy haze
test_450,clear primary cultivation partly_cloudy
test_451,primary cloudy partly_cloudy agriculture
test_452,primary haze
test_453,clear primary
test_454,clear primary
test_455,clear primary
test_456,cloudy
test_457,primary water partly_cloudy agriculture road
test_458,clear primary water habitation agriculture road
test_459,clear primary
test_460,clear primary
test_461,clear primary water agriculture road
test_462,clear primary
test_463,clear primary
test_464,clear primary partly_cloudy
test_465,clear primary cultivation habitation agriculture road
test_466,clear primary water cultivation agriculture road
test_467,clear primary haze
test_468,clear primary
test_469,clear primary
test_470,clear primary
test_471,clear primary
test_472,primary partly_cloudy agriculture
test_473,clear primary water partly_cloudy habitation agriculture road
test_474,clear primary partly_cloudy
test_475,clear primary
test_476,primary cloudy water partly_cloudy
test_477,clear primary water cultivation habitation agriculture road
test_478,clear primary agriculture road
test_479,primary cloudy haze
test_480,clear primary water cultivation agriculture
test_481,clear primary
test_482,clear primary
test_483,primary water partly_cloudy
test_484,primary water partly_cloudy agriculture road
test_485,clear primary
test_486,clear primary
test_487,clear primary water partly_cloudy habitation agriculture road
test_488,clear primary
test_489,clear primary water haze cultivation agriculture road
test_490,clear primary water cultivation agriculture
test_491,clear primary water habitation agriculture road
test_492,clear primary
test_493,clear primary water
test_494,clear primary
test_495,clear primary
test_496,primary partly_cloudy
test_497,clear primary water cultivation habitation agriculture road
test_498,clear primary
test_499,clear primary
test_500,clear primary
test_501,clear primary
test_502,clear primary
test_503,clear primary bare_ground agriculture road
test_504,primary partly_cloudy
test_505,clear primary water habitation agriculture road
test_506,clear primary
test_507,primary cloudy haze agriculture
test_508,clear primary water habitation
test_509,clear primary
test_510,clear primary water partly_cloudy habitation agriculture road
test_511,clear primary water agriculture road
test_512,primary cloudy haze
test_513,clear primary
test_514,primary water partly_cloudy agriculture road
test_515,clear primary partly_cloudy
test_516,clear primary
test_517,clear primary agriculture road
test_518,primary water partly_cloudy agriculture road
test_519,clear primary water haze agriculture road
test_520,cloudy
test_521,clear primary partly_cloudy agriculture
test_522,clear primary water agriculture road
test_523,clear primary cultivation partly_cloudy
test_524,primary water haze cultivation agriculture
test_525,clear primary
test_526,clear primary water agriculture road
test_527,clear primary
test_528,clear primary habitation agriculture road
test_529,primary water partly_cloudy
test_530,clear primary water agriculture road
test_531,clear primary water agriculture road
test_532,clear primary
test_533,clear primary
test_534,clear primary
test_535,clear primary
test_536,primary cloudy water
test_537,clear primary water partly_cloudy
test_538,clear primary
test_539,clear primary water partly_cloudy agriculture
test_540,clear primary water agriculture road
test_541,clear primary agriculture road
test_542,clear primary water agriculture road
test_543,clear primary
test_544,clear primary water partly_cloudy habitation agriculture road
test_545,clear primary
test_546,clear primary water habitation agriculture road
test_547,clear primary
test_548,primary water partly_cloudy
test_549,primary cloudy haze road
test_550,clear primary cultivation agriculture
test_551,primary partly_cloudy habitation agriculture road
test_552,clear primary
test_553,clear primary water haze cultivation agriculture
test_554,clear primary
test_555,clear primary water cultivation agriculture road
test_556,cloudy
test_557,clear primary
test_558,primary cloudy water partly_cloudy agriculture road
test_559,clear primary
test_560,clear primary
test_561,primary partly_cloudy
test_562,clear primary agriculture
test_563,clear primary water cultivation
test_564,clear primary water habitation agriculture road
test_565,primary partly_cloudy agriculture road
test_566,clear primary
test_567,primary partly_cloudy agriculture
test_568,clear primary water partly_cloudy habitation agriculture road
test_569,clear primary water road
test_570,clear primary water cultivation partly_cloudy agriculture
test_571,clear primary
test_572,primary partly_cloudy agriculture road
test_573,clear primary
test_574,clear primary
test_575,clear primary
test_576,clear primary
test_577,primary partly_cloudy
test_578,primary haze
test_579,clear primary
test_580,clear primary water haze agriculture road
test_581,clear primary water cultivation agriculture road
test_582,clear primary water cultivation agriculture road
test_583,clear primary water agriculture road
test_584,clear primary
test_585,clear primary water road
test_586,clear primary water cultivation agriculture road
test_587,clear primary cultivation habitation agriculture road
test_588,clear primary
test_589,primary partly_cloudy agriculture
test_590,clear primary
test_591,clear primary water agriculture road
test_592,clear primary water cultivation habitation agriculture road
test_593,clear primary
test_594,clear primary cultivation agriculture
test_595,primary partly_cloudy agriculture road
test_596,clear primary water artisinal_mine agriculture road
test_597,clear primary cultivation partly_cloudy agriculture
test_598,primary partly_cloudy agriculture
test_599,clear primary
test_600,clear primary
test_601,primary water haze agriculture
test_602,cloudy
test_603,clear primary
test_604,cloudy
test_605,primary partly_cloudy agriculture
test_606,clear primary habitation agriculture road
test_607,clear primary partly_cloudy
test_608,clear primary cultivation habitation agriculture road
test_609,clear primary haze
test_610,clear primary
test_611,clear primary water agriculture road
test_612,clear primary
test_613,primary partly_cloudy
test_614,clear primary
test_615,clear primary water agriculture road
test_616,clear primary
test_617,clear primary
test_618,clear primary
test_619,clear primary water partly_cloudy agriculture road
test_620,clear primary cultivation agriculture road
test_621,clear primary
test_622,clear primary partly_cloudy agriculture road
test_623,clear primary
test_624,clear primary
test_625,clear primary
test_626,clear primary
test_627,clear primary
test_628,clear primary
test_629,clear primary
test_630,clear primary water habitation agriculture road
test_631,primary water haze agriculture road
test_632,primary cloudy water haze
test_633,clear primary water agriculture road
test_634,clear primary water agriculture road
test_635,clear primary
test_636,clear primary
test_637,clear primary
test_638,clear primary
test_639,clear primary water cultivation agriculture
test_640,clear primary
test_641,clear primary water partly_cloudy agriculture road
test_642,clear primary water agriculture road
test_643,clear primary water cultivation agriculture
test_644,clear primary
test_645,primary water partly_cloudy agriculture
test_646,primary partly_cloudy
test_647,clear primary cultivation agriculture road
test_648,clear primary habitation bare_ground agriculture road
test_649,clear primary water cultivation habitation agriculture road
test_650,clear primary water partly_cloudy agriculture road
test_651,clear primary water habitation agriculture road
test_652,clear primary
test_653,clear primary water cultivation agriculture road
test_654,primary cloudy haze
test_655,clear primary
test_656,clear primary
test_657,clear primary water cultivation habitation agriculture road
test_658,clear primary water road
test_659,clear primary
test_660,clear primary
test_661,clear primary
test_662,primary water partly_cloudy agriculture
test_663,clear primary water partly_cloudy agriculture
test_664,cloudy
test_665,clear primary
test_666,clear primary
test_667,clear primary
test_668,clear primary water agriculture road
test_669,clear primary
test_670,primary water partly_cloudy agriculture
test_671,clear primary water agriculture road
test_672,clear primary
test_673,clear primary haze
test_674,primary partly_cloudy agriculture
test_675,primary cloudy haze
test_676,clear primary water cultivation habitation agriculture road
test_677,clear primary partly_cloudy
test_678,clear primary water agriculture road
test_679,primary cloudy haze
test_680,clear primary water cultivation agriculture road
test_681,clear primary
test_682,clear primary
test_683,primary partly_cloudy
test_684,clear primary
test_685,clear primary water cultivation habitation agriculture road
test_686,clear primary
test_687,primary cloudy partly_cloudy
test_688,clear primary water agriculture road
test_689,clear primary water cultivation agriculture road
test_690,clear primary
test_691,clear primary water partly_cloudy
test_692,primary haze
test_693,clear primary water road
test_694,clear primary water cultivation agriculture road
test_695,clear primary cultivation agriculture
test_696,clear primary water agriculture road
test_697,primary partly_cloudy agriculture road
test_698,clear primary water
test_699,clear primary cultivation partly_cloudy habitation agriculture road
test_700,primary cloudy partly_cloudy
test_701,clear primary water habitation agriculture road
test_702,cloudy
test_703,clear primary agriculture
test_704,clear primary
test_705,clear primary
test_706,clear primary
test_707,clear primary road
test_708,clear primary
test_709,cloudy
test_710,clear primary
test_711,clear primary
test_712,primary partly_cloudy agriculture
test_713,clear primary
test_714,primary cloudy partly_cloudy agriculture
test_715,primary partly_cloudy
test_716,clear primary
test_717,clear primary
test_718,clear primary water agriculture road
test_719,clear primary
test_720,clear primary water agriculture road
test_721,clear primary
test_722,clear primary
test_723,clear primary water cultivation habitation agriculture road
test_724,clear primary water agriculture road
test_725,clear primary water partly_cloudy habitation agriculture road
test_726,clear primary
test_727,clear primary water partly_cloudy agriculture road
test_728,clear primary
test_729,clear primary water cultivation agriculture road
test_730,clear primary water cultivation agriculture road
test_731,clear primary
test_732,clear primary
test_733,clear primary haze
test_734,clear primary
test_735,clear primary water cultivation agriculture road
test_736,clear primary partly_cloudy habitation agriculture road
test_737,clear primary water cultivation partly_cloudy habitation agriculture road
test_738,clear primary partly_cloudy habitation agriculture road
test_739,clear primary cultivation agriculture road
test_740,clear primary cultivation agriculture
test_741,clear primary water partly_cloudy agriculture road
test_742,clear primary
test_743,clear primary
test_744,clear primary water cultivation habitation agriculture road
test_745,clear primary
test_746,primary water partly_cloudy
test_747,primary water haze agriculture road
test_748,clear primary
test_749,primary water partly_cloudy agriculture
test_750,clear primary partly_cloudy habitation agriculture road
test_751,clear primary
test_752,primary water haze partly_cloudy agriculture
test_753,clear primary
test_754,primary cloudy water haze partly_cloudy
test_755,primary haze
test_756,clear primary water habitation agriculture road
test_757,clear primary
test_758,cloudy
test_759,primary water partly_cloudy
test_760,clear primary
test_761,primary partly_cloudy
test_762,clear primary
test_763,clear primary partly_cloudy bare_ground agriculture
test_764,clear primary water habitation agriculture road
test_765,clear primary
test_766,clear primary
test_767,clear primary water habitation agriculture road
test_768,clear primary
test_769,primary cloudy haze
test_770,clear primary cultivation agriculture
test_771,clear primary
test_772,primary partly_cloudy agriculture
test_773,primary water partly_cloudy agriculture road
test_774,clear primary cultivation agriculture
test_775,clear primary water partly_cloudy agriculture road
test_776,clear primary
test_777,clear primary water habitation agriculture road
test_778,clear primary water cultivation partly_cloudy habitation agriculture road
test_779,clear primary
test_780,clear primary
test_781,clear primary habitation agriculture road
test_782,clear primary water partly_cloudy agriculture
test_783,cloudy
test_784,clear primary cultivation agriculture road
test_785,primary water partly_cloudy
test_786,primary partly_cloudy
test_787,clear primary agriculture
test_788,cloudy
test_789,primary partly_cloudy agriculture road
test_790,clear primary water cultivation agriculture road selective_logging
test_791,clear primary water agriculture
test_792,clear primary
test_793,primary partly_cloudy
test_794,clear primary water cultivation partly_cloudy agriculture road
test_795,clear primary water artisinal_mine agriculture road
test_796,clear primary
test_797,primary water partly_cloudy
test_798,primary water partly_cloudy agriculture
test_799,clear primary
test_800,clear primary
test_801,primary cultivation partly_cloudy habitation agriculture road
test_802,clear primary habitation agriculture road
test_803,clear primary cultivation agriculture road
test_804,clear primary haze
test_805,clear primary agriculture
test_806,clear primary
test_807,clear primary bare_ground agriculture road
test_808,clear primary
test_809,clear primary agriculture
test_810,clear primary water partly_cloudy agriculture road
test_811,clear primary
test_812,clear primary water agriculture
test_813,clear primary
test_814,clear primary water agriculture
test_815,clear primary
test_816,clear primary water partly_cloudy
test_817,cloudy
test_818,clear primary water partly_cloudy habitation agriculture road
test_819,clear primary cloudy water
test_820,clear primary
test_821,clear primary bare_ground agriculture road
test_822,clear primary
test_823,primary cloudy haze
test_824,clear primary
test_825,primary water haze agriculture
test_826,clear primary water partly_cloudy habitation bare_ground agriculture road
test_827,clear primary
test_828,clear primary
test_829,clear primary
test_830,cloudy water haze
test_831,clear primary
test_832,primary partly_cloudy
test_833,primary water partly_cloudy
test_834,clear primary
test_835,clear primary
test_836,clear primary
test_837,clear primary water partly_cloudy artisinal_mine agriculture
test_838,clear primary cultivation habitation agriculture road
test_839,clear primary water
test_840,clear blooming primary
test_841,clear primary
test_842,clear primary
test_843,primary cloudy haze
test_844,primary water partly_cloudy agriculture road
test_845,clear primary habitation agriculture road
test_846,clear primary water cultivation habitation agriculture road
test_847,clear primary
test_848,cloudy haze
test_849,primary cloudy
test_850,clear primary agriculture road
test_851,clear primary
test_852,clear primary water haze partly_cloudy agriculture
test_853,clear primary haze cultivation partly_cloudy agriculture
test_854,clear primary cultivation agriculture
test_855,clear primary
test_856,clear primary cultivation agriculture
test_857,primary partly_cloudy
test_858,clear primary water haze cultivation agriculture road
test_859,clear primary water haze cultivation agriculture road
test_860,clear primary
test_861,clear primary
test_862,primary cultivation partly_cloudy agriculture
test_863,clear primary
test_864,clear primary
test_865,cloudy haze
test_866,primary water partly_cloudy agriculture
test_867,cloudy
test_868,clear primary
test_869,clear primary
test_870,clear primary water cultivation agriculture
test_871,primary water partly_cloudy agriculture
test_872,clear primary water haze cultivation partly_cloudy agriculture
test_873,clear primary
test_874,clear primary
test_875,primary partly_cloudy
test_876,clear primary
test_877,clear primary partly_cloudy habitation agriculture road
test_878,primary water partly_cloudy
test_879,clear primary water cultivation agriculture
test_880,clear primary
test_881,clear primary water cultivation habitation agriculture road
test_882,clear primary
test_883,primary cloudy water haze
test_884,clear primary
test_885,clear primary
test_886,clear primary water haze agriculture road
test_887,clear primary water partly_cloudy habitation agriculture road
test_888,clear primary water agriculture
test_889,primary cloudy haze
test_890,clear primary
test_891,clear primary cultivation agriculture road
test_892,clear primary partly_cloudy
test_893,primary partly_cloudy habitation agriculture road
test_894,clear primary water cultivation agriculture road
test_895,clear primary bare_ground agriculture road
test_896,clear primary agriculture
test_897,primary cloudy haze
test_898,cloudy
test_899,clear primary water artisinal_mine habitation bare_ground agriculture road
test_900,clear primary habitation agriculture road
test_901,clear primary
test_902,primary cloudy water haze
test_903,primary water partly_cloudy agriculture
test_904,clear primary partly_cloudy agriculture road
test_905,clear primary
test_906,clear primary water agriculture road
test_907,clear primary
test_908,clear primary partly_cloudy
test_909,clear primary
test_910,cloudy
test_911,clear primary
test_912,clear primary water cultivation agriculture road
test_913,clear primary water cultivation agriculture road
test_914,primary water agriculture
test_915,clear primary
test_916,clear primary
test_917,primary cloudy haze
test_918,clear primary
test_919,clear primary haze agriculture
test_920,clear primary partly_cloudy
test_921,primary cloudy
test_922,cloudy
test_923,clear primary water agriculture road
test_924,clear primary partly_cloudy agriculture
test_925,primary cloudy haze
test_926,clear primary partly_cloudy habitation agriculture road
test_927,clear primary
test_928,clear primary water agriculture road
test_929,clear primary partly_cloudy
test_930,clear primary water cultivation agriculture road
test_931,clear primary
test_932,clear primary
test_933,clear primary water
test_934,primary water partly_cloudy agriculture
test_935,clear primary water cultivation agriculture road
test_936,clear primary agriculture
test_937,primary cloudy haze
test_938,clear primary agriculture
test_939,clear primary water cultivation agriculture road
test_940,clear primary
test_941,clear primary cultivation agriculture road
test_942,clear primary haze agriculture road
test_943,primary partly_cloudy
test_944,primary cloudy partly_cloudy agriculture road
test_945,clear primary
test_946,clear primary water cultivation road
test_947,clear primary water partly_cloudy agriculture road
test_948,clear primary water
test_949,clear primary water cultivation agriculture
test_950,primary partly_cloudy agriculture
test_951,clear primary cloudy water agriculture road
test_952,clear primary habitation agriculture road
test_953,clear primary water habitation agriculture road
test_954,primary partly_cloudy agriculture
test_955,clear primary water cultivation agriculture
test_956,primary partly_cloudy agriculture
test_957,clear primary water partly_cloudy habitation agriculture
test_958,primary water haze agriculture road
test_959,primary cloudy haze
test_960,clear primary water partly_cloudy
test_961,primary partly_cloudy agriculture road
test_962,clear primary
test_963,clear primary agriculture road
test_964,clear primary
test_965,clear primary
